#          lgT                    lgLx
-6.200317425648580461e-01 -3.033221145400146312e+00
-1.280572792762358469e+00 -4.753540918289480999e+00
-8.620106183277258527e-01 -3.664765001580847059e+00
-1.037706440324582591e+00 -3.948516913448269605e+00
-9.296501029752793910e-01 -3.895129649693296781e+00
-7.762944218277776365e-01 -3.540217374843773523e+00
-9.534891452960863045e-01 -4.187616183144709403e+00
-5.512298729027873545e-01 -2.852044266383065185e+00
-8.110160077898176390e-02 -1.843509488239936767e+00
-1.001725496809062754e+00 -3.930083712190231893e+00
-1.182035105579183565e+00 -4.445170307557702039e+00
-1.466769453939529733e+00 -4.966216991422286675e+00
-1.376478832546459419e+00 -4.904192796249618347e+00
-1.068005711414865111e+00 -4.064420621241223941e+00
-1.174377856399342557e+00 -4.349382415113447919e+00
-1.316730975864048636e+00 -5.004214756808601727e+00
-1.041296824356565454e+00 -4.025720103256203330e+00
-9.282872419433388922e-01 -3.765156551162319953e+00
-9.980210705602967636e-01 -3.815925866482888118e+00
-8.346443127238729609e-01 -3.472277868920510269e+00
-8.850215449274017043e-01 -3.940750879903043291e+00
-7.217760220787935443e-01 -3.284274223711852514e+00
-9.577160308832073365e-01 -4.081931121745316027e+00
-4.191445262499249313e-01 -2.772237134291184901e+00
-6.517483931797360963e-01 -3.164152042861798186e+00
-1.511568423846900044e+00 -5.336740081234610855e+00
-1.539379895583710356e+00 -5.267364322397645182e+00
-1.354240187747848045e+00 -4.957274870384034138e+00
-1.288623187016817440e+00 -4.807123035901502028e+00
-1.299106029757988612e+00 -4.968980847036381654e+00
-1.064836084101500768e+00 -4.364198222602077237e+00
-8.801602460355886226e-01 -3.863864866614269644e+00
-1.322936593262066696e+00 -4.788337125575293562e+00
-1.034460257799687311e+00 -4.094040587565475064e+00
-1.137910273740676548e+00 -4.279181200446733335e+00
-1.311017667160031097e+00 -4.829174885735008971e+00
-6.599128691806668279e-01 -3.332165009331030436e+00
-6.545384317903087945e-01 -3.247662707583487407e+00
-9.566348270531893627e-01 -4.166014661291529642e+00
-3.100316671786929046e-01 -2.524699991218822603e+00
-7.478243919847328280e-01 -3.412052880255938891e+00
-1.297168662013667761e+00 -4.711878922229862710e+00
2.068103277553949848e-01 -9.087414668351716518e-01
-1.116347907206300505e+00 -4.196774326728988314e+00
-5.314382537632251768e-01 -2.720009253265719185e+00
-6.412293030882149081e-01 -3.243410404364573285e+00
-1.174049079409006602e+00 -4.423613122558053945e+00
-1.175173476390469984e+00 -4.549859015472179635e+00
-1.243942834383920504e+00 -4.822800855949331833e+00
-5.371524108572350853e-01 -3.017147876557519925e+00
-1.103694106342177461e+00 -4.539926139205558542e+00
-6.325880430423964640e-01 -3.000002400715263917e+00
-4.526546859449518401e-01 -2.533312752832256542e+00
-1.166371095148043713e+00 -4.554277732089476949e+00
-1.239140749574241029e+00 -4.735406595071775193e+00
-6.439239816700957908e-01 -3.101100700132472632e+00
-5.141918106702940694e-01 -2.639251309660513467e+00
-1.180037162583587484e+00 -4.356702388460393927e+00
-1.082046651669809956e+00 -4.521652655743595872e+00
-1.132366651823331294e+00 -4.434793389160095245e+00
-1.086127972023149590e+00 -4.210291400260289585e+00
-1.124174867692105284e+00 -4.217601816203755405e+00
-6.461127847309773298e-01 -3.051108277017687165e+00
-1.367269074272352558e+00 -5.126613829264159428e+00
-1.318461475611167222e+00 -4.684773239153507518e+00
-8.273571846943212904e-01 -3.390706907617834442e+00
-1.171432917996727996e+00 -4.430959365810917205e+00
-2.089231183068423758e-01 -2.207287592427051859e+00
-1.285275374140462779e+00 -4.906241952523680894e+00
-1.257729880394777622e+00 -4.630675227813686234e+00
-1.289205697146965868e+00 -4.787300397587367584e+00
-7.993693343016757824e-01 -3.596216889425184693e+00
-7.165531850508987111e-01 -3.543847798069394983e+00
-5.788610501201704173e-01 -3.184960618987279446e+00
2.431221635980538587e-01 -8.030242606483555257e-01
-1.898942501693360596e-01 -2.042086490038695690e+00
-1.478196345317511540e+00 -5.268396165747113002e+00
-1.124237065586201956e+00 -4.296691700872822928e+00
-7.471748053362696762e-01 -3.407859811858141352e+00
-6.964576245549786160e-01 -3.040638963509799009e+00
-1.234645451275592887e+00 -4.490272796383200316e+00
-1.485851736296333492e+00 -5.336811355090192777e+00
-1.163336016107516580e+00 -4.465370527096825803e+00
-6.704807662921704603e-01 -3.270696948659135295e+00
-8.300188248243365319e-01 -3.694430298429316473e+00
-8.786468665310455117e-01 -3.786838991788193720e+00
-5.863883187801273156e-01 -2.962182970281507011e+00
-9.642905648348777392e-01 -3.954019202909344610e+00
-9.134846660894151427e-01 -4.031362326395974804e+00
-1.254366861610304529e+00 -4.679059338732360018e+00
-1.324667637539088005e+00 -4.820231097587920566e+00
-1.440659114839733412e+00 -5.108874472547482171e+00
6.495842956501943766e-01 4.032634509968381353e-01
-1.137122799897047454e+00 -4.475582868051954044e+00
-9.194964017227343911e-01 -3.660576215081450702e+00
-1.338726049922452477e+00 -4.625595196416438348e+00
-1.391391272397757284e+00 -5.095852760559832717e+00
-1.121679988841877140e+00 -4.262657711036781372e+00
-1.127028976869744792e+00 -4.423076354707791147e+00
-1.121903273999956818e+00 -4.298041591750486390e+00
-7.123294671620360452e-01 -3.115979467651825541e+00
-1.163242355412955842e+00 -4.758718145669084798e+00
-1.376137932143593812e+00 -4.893276790616815752e+00
-1.063611134015877147e+00 -4.379066628450611454e+00
-9.944738081764206150e-01 -4.113414025049142886e+00
-1.220106519089384278e+00 -4.702284621263947528e+00
-7.530710845401145104e-01 -3.129617788520642208e+00
-1.562682019442674930e+00 -5.316313413109711838e+00
-1.200994450850598305e+00 -4.314077744176961993e+00
-1.058106011477808028e+00 -3.978901506477659389e+00
-1.089159342666214059e+00 -4.289821202131265387e+00
-1.035677920115524842e+00 -4.176121705966299835e+00
